loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	115	3.76	5.38	1.16	.37	1.43	2.54	2.03	2.16	2.56	1.22
	116	3.75	6.20	1.10	.45	1.40	2.82	.00	2.04	2.86	1.18
	117	3.75	9.41	1.03	.54	6.14	3.11	.00	1.94	2.91	1.14
	118	3.76	9.53	.97	.64	6.29	3.41	.00	1.84	2.96	1.08
	119	3.78	9.65	.90	.75	6.42	3.69	.00	1.74	3.01	1.03
	120	3.80	9.76	.83	.85	6.51	3.95	.00	1.65	3.04	.96
	121	3.83	9.87	.77	.96	6.57	4.18	.00	1.57	3.07	.90
	122	3.87	9.97	.70	1.08	6.60	4.38	.00	1.50	3.09	.82
	123	3.91	10.05	.64	1.19	6.58	4.53	.00	1.43	3.11	.75
	124	3.96	10.13	.58	1.30	6.53	4.64	.00	1.36	3.11	.68
	125	4.01	10.18	.52	1.42	6.44	1.89	.00	1.31	3.12	.60
	126	4.06	10.22	.47	1.53	6.31	1.84	.00	1.25	3.11	.53
	127	4.12	10.23	.42	1.64	6.16	1.78	.00	.76	3.11	.46
	128	5.83	10.21	.38	1.54	6.00	1.71	.00	.67	3.09	.40
	129	5.65	10.17	.34	1.20	5.83	1.64	.00	.58	3.08	.34
	130	5.44	10.10	.30	.87	5.65	1.56	.00	.49	3.05	.29
	131	5.21	9.99	.26	.58	.91	1.47	.00	.40	3.02	.25
	132	4.95	9.85	.24	.37	1.17	1.39	.00	.32	2.98	.22
	133	4.67	9.68	.21	.44	1.47	1.29	.00	.26	2.94	.19
	134	4.48	9.48	.18	.43	1.83	1.20	.00	.21	2.89	.17
	135	4.37	9.24	.16	.39	2.24	1.10	.00	.18	2.84	.15
	136	4.24	8.98	.14	.35	2.68	1.01	.00	.17	.00	.14
	137	4.09	8.70	.13	.20	3.14	.92	.00	.18	.00	.14
	138	3.93	8.39	.11	.22	3.63	.83	.00	.22	.00	.14
	139	3.75	8.06	.00	.25	4.12	.75	.00	.27	.00	.00
	140	3.56	7.72	.81	.28	4.61	.68	.00	.12	.00	.00
	141	3.26	5.21	.86	.31	5.09	.63	.00	.18	.00	.00
