loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	110	3.91	1.26	1.47	13.72	.99	6.10	.77	9.34	.92	1.64
	111	3.64	1.50	1.48	14.23	.97	6.58	.96	9.80	1.19	1.80
	112	3.40	1.76	1.49	14.67	.94	6.99	1.15	10.21	1.48	1.96
	113	3.17	2.02	1.50	15.03	.91	7.31	1.32	10.55	1.78	2.13
	114	2.96	2.29	1.51	15.33	.89	7.56	1.47	10.82	2.07	2.30
	115	2.76	2.56	1.51	15.55	.87	7.70	1.57	11.01	2.35	2.48
	116	2.59	2.81	1.51	15.70	.85	7.74	.00	11.12	2.48	2.65
	117	2.45	4.20	1.51	15.79	.08	7.68	.00	11.16	2.55	2.83
	118	2.32	4.22	1.51	15.81	.10	7.53	.00	11.13	2.62	2.99
	119	2.23	4.23	1.51	15.77	.12	7.29	.00	11.04	2.68	3.15
	120	2.15	4.24	1.52	15.68	.14	6.97	.00	10.89	2.73	3.29
	121	2.11	4.25	1.52	15.53	.16	6.59	.00	10.69	2.77	3.42
	122	2.08	4.24	1.52	15.34	.19	6.16	.00	10.45	2.80	3.54
	123	2.08	4.23	1.52	15.10	.21	5.70	.00	10.19	2.82	3.64
	124	2.10	4.21	1.53	14.83	.23	5.22	.00	9.90	2.83	3.72
	125	2.15	4.19	1.54	14.53	.24	3.36	.00	9.60	2.83	3.79
	126	2.21	4.15	1.55	14.20	.26	3.49	.00	9.29	2.82	3.83
	127	2.28	4.11	1.57	13.87	.27	3.64	.00	9.30	2.79	3.86
	128	6.15	4.05	1.59	11.32	.27	3.80	.00	9.74	2.77	3.87
	129	6.25	3.99	1.60	11.74	.27	3.96	.00	10.11	2.73	3.87
	130	6.31	3.91	1.63	11.82	.27	4.14	.00	10.40	2.69	3.85
	131	6.33	3.82	1.66	11.58	.38	4.32	.00	10.59	2.65	3.82
	132	6.31	3.72	1.69	11.08	.66	4.52	.00	10.69	2.60	3.78
	133	6.24	3.62	1.71	9.67	1.05	4.72	.00	10.69	2.55	3.73
	134	6.12	3.49	1.74	10.91	1.57	4.92	.00	10.59	2.50	3.67
	135	5.95	3.36	1.77	11.89	2.22	5.13	.00	10.39	2.45	3.60
