loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	207	3.01	.00	.84	.00	.00	.00	.00	.00	.00	.00
	208	2.96	.00	.94	.00	.00	.00	.00	.00	.00	.00
	209	2.88	.00	1.04	.00	.00	.00	.00	.00	.00	.00
	210	2.76	.00	1.14	.00	.00	.00	.00	.00	.00	.00
	211	2.62	.00	1.23	.00	.00	.00	.00	.00	.00	.00
	212	2.46	.00	1.33	.00	.00	.00	.00	.00	.00	.00
	213	2.31	.00	1.42	.00	.00	.00	.00	.00	.00	.00
	214	2.18	.00	1.51	.00	.00	.00	.00	.00	.00	.00
	215	2.06	.00	1.59	.00	.00	.00	.00	.00	.00	.00
	216	2.41	.00	1.67	.00	.00	.00	.00	.00	.00	.00
	217	2.44	.00	1.75	.00	.00	.00	.00	.00	.00	.00
	218	2.47	.00	.00	.00	.00	.00	.00	.00	.00	.00
	219	2.49	.00	.00	.00	.00	.00	.00	.00	.00	.00
	220	2.50	.00	.00	.00	.00	.00	.00	.00	.00	.00
	221	2.50	.00	.00	.00	.00	.00	.00	.00	.00	.00
	222	2.50	.00	.00	.00	.00	.00	.00	.00	.00	.00
	223	2.49	.00	.00	.00	.00	.00	.00	.00	.00	.00
	224	2.49	.00	.00	.00	.00	.00	.00	.00	.00	.00
	225	2.48	.00	.00	.00	.00	.00	.00	.00	.00	.00
	226	2.46	.00	.00	.00	.00	.00	.00	.00	.00	.00
	227	2.45	.00	.00	.00	.00	.00	.00	.00	.00	.00
	228	3.49	.00	.00	.00	.00	.00	.00	.00	.00	.00
	229	3.53	.00	.00	.00	.00	.00	.00	.00	.00	.00
	230	3.55	.00	.00	.00	.00	.00	.00	.00	.00	.00
	231	3.57	.00	.00	.00	.00	.00	.00	.00	.00	.00
	232	3.58	.00	.00	.00	.00	.00	.00	.00	.00	.00
	233	3.15	.00	.00	.00	.00	.00	.00	.00	.00	.00
	234	3.05	.00	.00	.00	.00	.00	.00	.00	.00	.00
	235	2.94	.00	.00	.00	.00	.00	.00	.00	.00	.00
	236	2.81	.00	.00	.00	.00	.00	.00	.00	.00	.00
	237	2.68	.00	.00	.00	.00	.00	.00	.00	.00	.00
	238	2.55	.00	.00	.00	.00	.00	.00	.00	.00	.00
	239	2.43	.00	.00	.00	.00	.00	.00	.00	.00	.00
	240	2.31	.00	.00	.00	.00	.00	.00	.00	.00	.00
	241	2.19	.00	.00	.00	.00	.00	.00	.00	.00	.00
	242	1.54	.00	.00	.00	.00	.00	.00	.00	.00	.00
	243	1.33	.00	.00	.00	.00	.00	.00	.00	.00	.00
	244	1.13	.00	.00	.00	.00	.00	.00	.00	.00	.00
	245	.94	.00	.00	.00	.00	.00	.00	.00	.00	.00
	246	.76	.00	.00	.00	.00	.00	.00	.00	.00	.00
	247	.60	.00	.00	.00	.00	.00	.00	.00	.00	.00
	248	.46	.00	.00	.00	.00	.00	.00	.00	.00	.00
	249	.15	.00	.00	.00	.00	.00	.00	.00	.00	.00
	250	.16	.00	.00	.00	.00	.00	.00	.00	.00	.00
	251	.22	.00	.00	.00	.00	.00	.00	.00	.00	.00
	252	.30	.00	.00	.00	.00	.00	.00	.00	.00	.00
	253	.26	.00	.00	.00	.00	.00	.00	.00	.00	.00
	254	.21	.00	.00	.00	.00	.00	.00	.00	.00	.00
	255	.16	.00	.00	.00	.00	.00	.00	.00	.00	.00
	256	.11	.00	.00	.00	.00	.00	.00	.00	.00	.00
	257	.08	.00	.00	.00	.00	.00	.00	.00	.00	.00
	258	.05	.00	.00	.00	.00	.00	.00	.00	.00	.00
	259	.03	.00	.00	.00	.00	.00	.00	.00	.00	.00
	260	.02	.00	.00	.00	.00	.00	.00	.00	.00	.00
	261	.02	.00	.00	.00	.00	.00	.00	.00	.00	.00
	262	.02	.00	.00	.00	.00	.00	.00	.00	.00	.00
	263	.03	.00	.00	.00	.00	.00	.00	.00	.00	.00
	264	.03	.00	.00	.00	.00	.00	.00	.00	.00	.00
	265	.04	.00	.00	.00	.00	.00	.00	.00	.00	.00
	266	.39	.00	.00	.00	.00	.00	.00	.00	.00	.00
	267	.44	.00	.00	.00	.00	.00	.00	.00	.00	.00
