loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	102	.06	1.55	.11	.32	.55	.24	.40	3.00	1.68	.56
	103	.10	1.44	.07	.01	.58	.62	.40	2.91	1.59	.41
	104	.16	1.33	.06	.02	.59	.49	.39	2.84	1.48	.29
	105	.26	1.22	.05	.04	.61	.37	.38	2.80	1.37	.22
	106	.39	1.10	.04	.06	.62	.26	.38	2.79	1.25	.18
	107	.55	.97	.04	.09	.64	.17	.38	10.61	1.12	.18
	108	.74	.85	.03	.13	.65	.10	.37	11.16	.99	.20
	109	.95	.73	.02	.18	.65	.05	.38	11.68	.86	1.44
	110	1.20	.02	.02	.23	.66	.07	1.90	12.17	.92	1.54
	111	1.46	.01	.01	.29	.66	.11	2.12	12.62	1.11	1.63
	112	1.75	.01	.01	.36	.66	.16	2.37	13.04	1.35	1.72
	113	2.06	.01	.01	.43	.66	.23	2.63	13.40	1.62	1.82
	114	2.38	.02	.01	.51	.66	.31	2.88	13.72	1.89	1.91
	115	2.71	.03	.01	.59	.66	.40	3.12	13.99	2.13	2.01
	116	3.04	.05	.00	.67	.65	.50	.00	14.21	1.50	2.10
	117	3.38	.02	.00	.76	1.43	.62	.00	14.36	1.53	2.21
	118	3.72	.01	.00	.86	1.37	.75	.00	14.46	1.56	2.31
	119	4.06	.01	.00	.95	1.31	.89	.00	14.50	1.59	2.43
	120	4.40	.01	.00	1.04	1.23	1.04	.00	14.47	1.62	2.54
	121	4.73	.01	.01	1.13	1.15	1.19	.00	14.38	1.65	2.67
	122	5.06	.00	.01	1.22	1.05	1.34	.00	14.22	1.68	2.81
	123	5.38	.00	.01	1.31	.95	1.49	.00	14.00	1.71	2.95
	124	5.69	.00	.01	1.40	.85	1.64	.00	13.71	1.74	3.10
	125	6.00	.00	.01	1.48	.75	3.96	.00	13.36	1.78	3.25
	126	6.29	.00	.01	1.56	.65	3.98	.00	12.95	1.82	3.41
	127	6.58	.00	.01	1.64	.56	4.01	.00	9.60	1.86	3.57
	128	15.53	.00	.01	1.75	.49	4.04	.00	9.96	1.91	3.74
	129	15.62	.00	.01	2.10	.43	4.06	.00	10.27	1.95	3.90
	130	15.72	.00	.01	2.43	.39	4.09	.00	10.53	2.00	4.06
