loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	124	6.11	.47	8.50	.00	.33	26.18	.00	3.40	2.49	4.29
	125	6.32	.38	8.54	.00	.46	18.23	.00	3.21	2.43	4.31
	126	6.52	.30	8.57	.00	.61	18.10	.00	3.04	2.35	4.30
	127	6.73	.23	8.60	.01	.77	17.95	.00	.66	2.26	4.28
	128	9.54	.16	8.61	.85	.82	17.79	.00	.83	2.16	4.23
	129	9.81	.11	8.61	.60	.87	17.60	.00	1.02	2.06	4.16
	130	10.07	.07	8.60	.43	.92	17.40	.00	1.23	1.94	4.08
	131	10.31	.04	8.58	.37	1.51	17.18	.00	1.45	1.83	3.97
	132	10.53	.03	8.56	.40	1.65	16.94	.00	1.68	1.72	3.86
	133	10.70	.03	8.52	.79	1.81	16.68	.00	1.88	1.60	3.73
	134	11.23	.05	8.48	.87	2.01	16.40	.00	2.06	1.50	3.60
	135	11.97	.09	8.43	.94	2.23	16.11	.00	2.20	1.39	3.46
	136	12.52	.14	8.38	.99	2.46	15.80	.00	2.31	.00	3.32
	137	12.89	.20	8.32	3.10	2.70	15.47	.00	2.37	.00	3.19
	138	13.13	.28	8.25	3.19	2.94	15.12	.00	2.38	.00	3.06
	139	13.22	.36	6.12	3.22	3.18	14.75	.00	2.36	.00	.00
	140	13.19	.44	6.69	3.19	3.40	14.37	.00	2.84	.00	.00
	141	13.02	3.20	6.71	3.08	3.60	13.97	.00	2.79	.00	.00
	142	17.76	3.20	6.71	2.91	3.79	13.55	.00	2.76	.00	.00
	143	17.38	3.22	6.71	2.70	3.95	13.11	.00	2.75	.00	.00
	144	16.86	3.24	6.71	2.45	4.09	12.65	.00	2.76	.00	.00
	145	16.19	3.26	6.70	2.21	4.20	12.18	.00	2.81	.00	.00
	146	15.38	3.29	6.68	2.38	4.28	11.68	.00	2.89	.00	.00
	147	14.44	3.25	6.65	2.62	4.35	11.16	.00	3.00	.00	.00
	148	13.41	3.17	6.61	2.87	8.95	10.63	.00	3.14	.00	.00
	149	12.34	3.07	6.57	3.12	8.81	10.08	.00	3.31	.00	.00
	150	13.16	2.93	6.51	3.38	8.66	9.52	.00	2.32	.00	.00
	151	13.31	3.35	6.45	3.66	8.50	8.96	.00	2.25	.00	.00
	152	13.45	3.29	6.38	3.93	8.33	8.39	.00	2.16	.00	.00
	153	13.57	3.19	6.30	4.20	8.15	7.83	.00	2.05	.00	.00
	154	13.68	3.05	6.22	4.46	7.96	7.28	.00	1.91	.00	.00
	155	13.76	2.87	6.13	4.72	7.76	6.74	.00	1.75	.00	.00
	156	13.82	2.69	6.02	4.98	7.56	6.23	.00	1.57	.00	.00
	157	13.86	1.50	5.92	5.22	7.36	5.74	.00	1.39	.00	.00
	158	13.86	1.55	5.80	5.44	7.14	5.28	.00	1.21	.00	.00
	159	13.82	1.60	5.68	5.66	6.93	.00	.00	1.03	.00	.00
	160	13.75	1.65	5.56	5.85	6.71	.00	.00	.86	.00	.00
	161	13.64	1.70	5.43	6.03	6.49	.00	.00	.70	.00	.00
	162	13.49	1.75	5.30	6.19	6.26	.00	.00	.57	.00	.00
	163	13.30	1.79	5.17	6.34	6.04	.00	.00	.45	.00	.00
	164	13.05	1.81	5.04	6.46	5.82	.00	.00	.36	.00	.00
	165	12.77	1.83	4.91	6.56	5.60	.00	.00	.25	.00	.00
	166	12.43	1.83	4.78	6.65	5.38	.00	.00	.33	.00	.00
	167	12.05	1.82	4.65	6.72	5.16	.00	.00	.44	.00	.00
	168	11.63	1.79	4.52	.00	4.95	.00	.00	.57	.00	.00
	169	11.17	1.75	4.40	.00	4.74	.00	.00	.71	.00	.00
	170	10.67	1.69	4.27	.00	4.54	.00	.00	.86	.00	.00
	171	10.14	1.61	4.16	.00	4.34	.00	.00	1.01	.00	.00
	172	9.60	1.52	4.04	.00	4.14	.00	.00	1.17	.00	.00
	173	9.04	1.42	3.93	.00	3.95	.00	.00	1.31	.00	.00
	174	8.47	1.31	3.81	.00	3.77	.00	.00	1.44	.00	.00
	175	1.73	1.20	3.70	.00	3.59	.00	.00	1.56	.00	.00
	176	1.74	1.09	3.59	.00	3.42	.00	.00	1.67	.00	.00
	177	1.73	.99	3.49	.00	3.25	.00	.00	1.89	.00	.00
	178	1.73	.88	3.38	.00	3.09	.00	.00	1.71	.00	.00
	179	1.73	.78	3.29	.00	2.94	.00	.00	1.52	.00	.00
	180	1.73	.69	3.19	.00	.00	.00	.00	1.34	.00	.00
	181	1.72	.60	3.09	.00	.00	.00	.00	1.18	.00	.00
	182	1.71	.53	3.00	.00	.00	.00	.00	1.05	.00	.00
	183	1.69	.34	2.91	.00	.00	.00	.00	.97	.00	.00
	184	1.68	.42	2.82	.00	.00	.00	.00	.93	.00	.00
	185	1.66	.51	2.74	.00	.00	.00	.00	.95	.00	.00
	186	1.63	.62	2.66	.00	.00	.00	.00	1.01	.00	.00
	187	1.61	.73	2.58	.00	.00	.00	.00	1.10	.00	.00
	188	1.58	.85	2.51	.00	.00	.00	.00	.00	.00	.00
	189	1.55	.97	2.18	.00	.00	.00	.00	.00	.00	.00
	190	1.52	1.09	1.69	.00	.00	.00	.00	.00	.00	.00
	191	1.50	1.21	1.26	.00	.00	.00	.00	.00	.00	.00
	192	1.47	1.33	.94	.00	.00	.00	.00	.00	.00	.00
	193	1.44	1.44	.81	.00	.00	.00	.00	.00	.00	.00
	194	1.42	1.55	.88	.00	.00	.00	.00	.00	.00	.00
	195	1.39	1.67	.95	.00	.00	.00	.00	.00	.00	.00
	196	.74	.00	1.03	.00	.00	.00	.00	.00	.00	.00
	197	.75	.00	1.10	.00	.00	.00	.00	.00	.00	.00
	198	.79	.00	1.18	.00	.00	.00	.00	.00	.00	.00
	199	.85	.00	1.25	.00	.00	.00	.00	.00	.00	.00
	200	.92	.00	1.32	.00	.00	.00	.00	.00	.00	.00
	201	1.01	.00	1.39	.00	.00	.00	.00	.00	.00	.00
	202	1.10	.00	1.46	.00	.00	.00	.00	.00	.00	.00
	203	1.18	.00	1.51	.00	.00	.00	.00	.00	.00	.00
	204	1.25	.00	1.56	.00	.00	.00	.00	.00	.00	.00
	205	1.31	.00	1.60	.00	.00	.00	.00	.00	.00	.00
	206	1.04	.00	1.63	.00	.00	.00	.00	.00	.00	.00
	207	1.19	.00	1.65	.00	.00	.00	.00	.00	.00	.00
	208	1.21	.00	1.66	.00	.00	.00	.00	.00	.00	.00
	209	1.28	.00	1.67	.00	.00	.00	.00	.00	.00	.00
	210	1.39	.00	1.66	.00	.00	.00	.00	.00	.00	.00
	211	1.55	.00	1.65	.00	.00	.00	.00	.00	.00	.00
	212	1.75	.00	1.63	.00	.00	.00	.00	.00	.00	.00
	213	1.98	.00	1.60	.00	.00	.00	.00	.00	.00	.00
	214	2.22	.00	1.56	.00	.00	.00	.00	.00	.00	.00
	215	2.46	.00	1.53	.00	.00	.00	.00	.00	.00	.00
	216	3.60	.00	1.48	.00	.00	.00	.00	.00	.00	.00
	217	3.33	.00	1.43	.00	.00	.00	.00	.00	.00	.00
	218	3.10	.00	.00	.00	.00	.00	.00	.00	.00	.00
	219	2.93	.00	.00	.00	.00	.00	.00	.00	.00	.00
	220	2.84	.00	.00	.00	.00	.00	.00	.00	.00	.00
	221	2.84	.00	.00	.00	.00	.00	.00	.00	.00	.00
	222	2.94	.00	.00	.00	.00	.00	.00	.00	.00	.00
	223	3.13	.00	.00	.00	.00	.00	.00	.00	.00	.00
	224	3.40	.00	.00	.00	.00	.00	.00	.00	.00	.00
	225	3.71	.00	.00	.00	.00	.00	.00	.00	.00	.00
	226	4.05	.00	.00	.00	.00	.00	.00	.00	.00	.00
	227	4.39	.00	.00	.00	.00	.00	.00	.00	.00	.00
	228	6.11	.00	.00	.00	.00	.00	.00	.00	.00	.00
	229	6.68	.00	.00	.00	.00	.00	.00	.00	.00	.00
	230	7.16	.00	.00	.00	.00	.00	.00	.00	.00	.00
	231	7.54	.00	.00	.00	.00	.00	.00	.00	.00	.00
	232	7.81	.00	.00	.00	.00	.00	.00	.00	.00	.00
	233	8.76	.00	.00	.00	.00	.00	.00	.00	.00	.00
	234	9.18	.00	.00	.00	.00	.00	.00	.00	.00	.00
	235	9.51	.00	.00	.00	.00	.00	.00	.00	.00	.00
	236	9.75	.00	.00	.00	.00	.00	.00	.00	.00	.00
	237	9.87	.00	.00	.00	.00	.00	.00	.00	.00	.00
	238	9.88	.00	.00	.00	.00	.00	.00	.00	.00	.00
	239	9.77	.00	.00	.00	.00	.00	.00	.00	.00	.00
	240	9.55	.00	.00	.00	.00	.00	.00	.00	.00	.00
	241	9.23	.00	.00	.00	.00	.00	.00	.00	.00	.00
	242	7.63	.00	.00	.00	.00	.00	.00	.00	.00	.00
	243	7.54	.00	.00	.00	.00	.00	.00	.00	.00	.00
	244	7.39	.00	.00	.00	.00	.00	.00	.00	.00	.00
	245	7.19	.00	.00	.00	.00	.00	.00	.00	.00	.00
	246	6.94	.00	.00	.00	.00	.00	.00	.00	.00	.00
	247	6.67	.00	.00	.00	.00	.00	.00	.00	.00	.00
	248	6.38	.00	.00	.00	.00	.00	.00	.00	.00	.00
	249	5.22	.00	.00	.00	.00	.00	.00	.00	.00	.00
	250	4.70	.00	.00	.00	.00	.00	.00	.00	.00	.00
	251	4.11	.00	.00	.00	.00	.00	.00	.00	.00	.00
	252	3.49	.00	.00	.00	.00	.00	.00	.00	.00	.00
	253	3.18	.00	.00	.00	.00	.00	.00	.00	.00	.00
	254	2.90	.00	.00	.00	.00	.00	.00	.00	.00	.00
	255	2.64	.00	.00	.00	.00	.00	.00	.00	.00	.00
	256	2.38	.00	.00	.00	.00	.00	.00	.00	.00	.00
	257	2.13	.00	.00	.00	.00	.00	.00	.00	.00	.00
	258	1.89	.00	.00	.00	.00	.00	.00	.00	.00	.00
	259	1.67	.00	.00	.00	.00	.00	.00	.00	.00	.00
	260	1.46	.00	.00	.00	.00	.00	.00	.00	.00	.00
	261	1.27	.00	.00	.00	.00	.00	.00	.00	.00	.00
	262	1.10	.00	.00	.00	.00	.00	.00	.00	.00	.00
	263	.95	.00	.00	.00	.00	.00	.00	.00	.00	.00
	264	.82	.00	.00	.00	.00	.00	.00	.00	.00	.00
	265	.72	.00	.00	.00	.00	.00	.00	.00	.00	.00
	266	.39	.00	.00	.00	.00	.00	.00	.00	.00	.00
	267	.55	.00	.00	.00	.00	.00	.00	.00	.00	.00
