loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	156	14.25	6.21	.34	10.13	1.77	1.56	.00	1.78	.00	.00
	157	14.20	8.92	.38	9.86	1.92	1.52	.00	1.76	.00	.00
	158	14.13	9.15	.42	9.59	2.06	1.47	.00	1.73	.00	.00
	159	14.04	9.38	.47	9.30	2.21	.00	.00	1.69	.00	.00
	160	13.93	9.60	.53	9.01	2.36	.00	.00	1.65	.00	.00
	161	13.81	9.81	.58	8.71	2.50	.00	.00	1.60	.00	.00
	162	13.66	9.99	.64	8.41	2.64	.00	.00	1.55	.00	.00
	163	13.50	10.14	.70	8.11	2.79	.00	.00	1.50	.00	.00
	164	13.32	10.27	.77	7.80	2.92	.00	.00	1.44	.00	.00
	165	13.11	10.36	.84	7.50	3.05	.00	.00	1.14	.00	.00
	166	12.88	10.42	.91	7.19	3.18	.00	.00	1.01	.00	.00
	167	12.63	10.44	.99	6.90	3.30	.00	.00	.89	.00	.00
	168	12.36	10.43	1.06	.00	3.41	.00	.00	.78	.00	.00
	169	12.06	10.38	1.14	.00	3.52	.00	.00	.68	.00	.00
	170	11.75	10.30	1.22	.00	3.62	.00	.00	.60	.00	.00
	171	11.41	10.19	1.31	.00	3.72	.00	.00	.53	.00	.00
	172	11.05	10.04	1.39	.00	3.80	.00	.00	.48	.00	.00
	173	10.66	9.87	1.48	.00	3.88	.00	.00	.44	.00	.00
	174	10.25	9.67	1.56	.00	3.95	.00	.00	.41	.00	.00
	175	5.97	9.46	1.65	.00	4.02	.00	.00	.40	.00	.00
	176	6.13	9.22	1.74	.00	4.08	.00	.00	.40	.00	.00
	177	6.27	8.97	1.83	.00	4.13	.00	.00	.27	.00	.00
	178	6.39	8.71	1.93	.00	4.17	.00	.00	.17	.00	.00
	179	6.49	8.44	2.02	.00	4.21	.00	.00	.10	.00	.00
	180	6.57	8.17	2.11	.00	.00	.00	.00	.06	.00	.00
	181	6.63	7.90	2.20	.00	.00	.00	.00	.04	.00	.00
	182	6.67	7.63	2.30	.00	.00	.00	.00	.05	.00	.00
	183	6.68	3.28	2.39	.00	.00	.00	.00	.10	.00	.00
	184	6.66	3.25	2.48	.00	.00	.00	.00	.16	.00	.00
	185	6.61	3.19	2.57	.00	.00	.00	.00	.26	.00	.00
	186	6.54	3.12	2.66	.00	.00	.00	.00	.37	.00	.00
	187	6.45	3.04	2.75	.00	.00	.00	.00	.49	.00	.00
	188	6.33	2.93	2.84	.00	.00	.00	.00	.00	.00	.00
	189	6.18	2.82	3.42	.00	.00	.00	.00	.00	.00	.00
	190	6.01	2.69	3.72	.00	.00	.00	.00	.00	.00	.00
	191	5.83	2.56	3.79	.00	.00	.00	.00	.00	.00	.00
	192	5.62	2.44	3.62	.00	.00	.00	.00	.00	.00	.00
	193	5.40	2.31	3.43	.00	.00	.00	.00	.00	.00	.00
	194	5.16	2.20	3.55	.00	.00	.00	.00	.00	.00	.00
	195	4.92	2.09	3.67	.00	.00	.00	.00	.00	.00	.00
	196	3.96	.00	3.78	.00	.00	.00	.00	.00	.00	.00
	197	4.27	.00	3.86	.00	.00	.00	.00	.00	.00	.00
	198	4.50	.00	3.93	.00	.00	.00	.00	.00	.00	.00
	199	4.63	.00	3.96	.00	.00	.00	.00	.00	.00	.00
	200	4.61	.00	3.96	.00	.00	.00	.00	.00	.00	.00
	201	4.43	.00	3.93	.00	.00	.00	.00	.00	.00	.00
	202	4.10	.00	3.86	.00	.00	.00	.00	.00	.00	.00
	203	3.62	.00	3.77	.00	.00	.00	.00	.00	.00	.00
	204	3.06	.00	3.64	.00	.00	.00	.00	.00	.00	.00
	205	2.49	.00	3.48	.00	.00	.00	.00	.00	.00	.00
	206	.48	.00	3.31	.00	.00	.00	.00	.00	.00	.00
	207	.31	.00	3.11	.00	.00	.00	.00	.00	.00	.00
	208	.33	.00	2.91	.00	.00	.00	.00	.00	.00	.00
	209	.35	.00	2.70	.00	.00	.00	.00	.00	.00	.00
	210	.36	.00	2.49	.00	.00	.00	.00	.00	.00	.00
	211	.37	.00	2.28	.00	.00	.00	.00	.00	.00	.00
	212	.36	.00	2.07	.00	.00	.00	.00	.00	.00	.00
	213	.35	.00	1.88	.00	.00	.00	.00	.00	.00	.00
	214	.34	.00	1.70	.00	.00	.00	.00	.00	.00	.00
	215	.32	.00	1.52	.00	.00	.00	.00	.00	.00	.00
	216	.64	.00	1.37	.00	.00	.00	.00	.00	.00	.00
	217	.65	.00	1.22	.00	.00	.00	.00	.00	.00	.00
